approach,model,trainAcc,valAcc,testAcc,trainFS,valFS,testFS,trainPPV,valPPV,testPPV,trainRec,valRec,testRec
approach1,"ANN_[4, 4]",0.825,0.819,0.866,0.775,0.764,0.613,0.826,0.815,0.567,0.740,0.729,0.718
approach1,"ANN_[2, 2]",0.719,0.716,0.805,0.500,0.502,0.411,0.613,0.605,0.481,0.520,0.521,0.497
approach1,"ANN_[16, 8]",0.875,0.872,0.927,0.838,0.830,0.732,0.903,0.899,0.719,0.794,0.786,0.755
approach1,ANN_[4],0.808,0.812,0.868,0.755,0.754,0.630,0.821,0.815,0.599,0.715,0.717,0.674
approach1,ANN_[8],0.859,0.855,0.892,0.817,0.813,0.664,0.864,0.858,0.620,0.788,0.784,0.758
approach1,ANN_[16],0.879,0.879,0.912,0.841,0.838,0.718,0.906,0.898,0.729,0.796,0.796,0.729
approach1,ANN_[32],0.893,0.881,0.921,0.860,0.844,0.736,0.901,0.885,0.707,0.830,0.814,0.782
approach1,ANN_[64],0.900,0.897,0.905,0.870,0.867,0.739,0.903,0.899,0.701,0.848,0.846,0.799
approach1,SVM_linear_0.500,0.780,0.775,0.667,0.743,0.741,0.447,0.733,0.726,0.397,0.762,0.762,0.739
approach1,SVM_linear_1.000,0.781,0.778,0.652,0.744,0.740,0.435,0.733,0.730,0.390,0.763,0.759,0.724
approach1,SVM_linear_1.500,0.782,0.778,0.640,0.745,0.742,0.430,0.734,0.730,0.387,0.762,0.763,0.730
approach1,SVM_linear_2.000,0.781,0.772,0.610,0.744,0.733,0.413,0.733,0.720,0.377,0.763,0.754,0.713
approach1,SVM_linear_2.500,0.780,0.776,0.651,0.743,0.739,0.436,0.733,0.727,0.391,0.762,0.759,0.724
approach1,SVM_linear_3.000,0.780,0.780,0.647,0.744,0.743,0.431,0.732,0.732,0.388,0.762,0.762,0.724
approach1,SVM_linear_3.500,0.782,0.778,0.637,0.745,0.743,0.430,0.734,0.731,0.387,0.763,0.761,0.724
approach1,SVM_linear_4.000,0.780,0.776,0.622,0.743,0.737,0.419,0.732,0.726,0.380,0.763,0.754,0.722
approach1,DT_3,0.669,0.666,0.809,0.501,0.500,0.431,0.534,0.532,0.469,0.524,0.525,0.526
approach1,DT_4,0.732,0.727,0.778,0.637,0.626,0.470,0.716,0.697,0.481,0.612,0.605,0.600
approach1,DT_5,0.804,0.798,0.795,0.752,0.744,0.519,0.803,0.795,0.492,0.715,0.707,0.672
approach1,DT_6,0.839,0.832,0.866,0.792,0.781,0.596,0.858,0.846,0.592,0.748,0.737,0.691
approach1,DT_7,0.864,0.851,0.859,0.829,0.811,0.601,0.882,0.863,0.584,0.790,0.774,0.696
approach1,DT_8,0.882,0.858,0.875,0.851,0.822,0.621,0.908,0.874,0.615,0.811,0.784,0.709
approach1,kNN_3_uniform,0.968,0.933,0.937,0.963,0.920,0.766,0.962,0.926,0.720,0.964,0.917,0.864
approach1,kNN_4_uniform,0.952,0.922,0.946,0.943,0.903,0.779,0.956,0.915,0.748,0.932,0.895,0.850
approach1,kNN_5_uniform,0.949,0.920,0.940,0.938,0.901,0.766,0.945,0.910,0.728,0.933,0.894,0.856
approach1,kNN_6_uniform,0.939,0.919,0.945,0.925,0.900,0.778,0.941,0.920,0.751,0.912,0.883,0.849
approach1,kNN_7_uniform,0.937,0.918,0.937,0.924,0.895,0.756,0.934,0.911,0.720,0.916,0.884,0.855
approach1,kNN_8_uniform,0.927,0.908,0.943,0.908,0.886,0.771,0.931,0.910,0.746,0.890,0.866,0.844
approach1,XGBoost0,1.000,0.964,0.953,1.000,0.960,0.818,1.000,0.967,0.817,1.000,0.954,0.822
approach1,"HardVoting: [ , kNN_3_uniform_0, kNN_4_uniform_1, kNN_5_uniform_2, kNN_6_uniform_3, kNN_7_uniform_4 ]",0.948,0.928,0.944,0.938,0.914,0.776,0.947,0.924,0.740,0.931,0.906,0.860
approach1,"SoftVoting: [ , kNN_3_uniform_0, kNN_4_uniform_1, kNN_5_uniform_2, kNN_6_uniform_3, kNN_7_uniform_4 ]",0.953,0.926,0.942,0.943,0.909,0.773,0.948,0.916,0.733,0.939,0.907,0.865
