approach,model,trainAcc,valAcc,testAcc,trainFS,valFS,testFS,trainPPV,valPPV,testPPV,trainRec,valRec,testRec
approach5,"ANN_[4, 4]",0.840,0.840,0.486,0.744,0.744,0.307,0.788,0.789,0.314,0.724,0.724,0.550
approach5,"ANN_[8, 8]",0.904,0.903,0.908,0.850,0.850,0.699,0.881,0.880,0.650,0.831,0.830,0.817
approach5,"ANN_[2, 2]",0.777,0.777,0.756,0.568,0.568,0.470,0.607,0.607,0.433,0.573,0.573,0.596
approach5,"ANN_[16, 8]",0.931,0.930,0.878,0.886,0.884,0.661,0.903,0.901,0.632,0.875,0.874,0.748
approach5,ANN_[4],0.840,0.840,0.643,0.757,0.757,0.462,0.808,0.807,0.412,0.736,0.736,0.710
approach5,ANN_[8],0.894,0.893,0.884,0.838,0.838,0.681,0.863,0.863,0.627,0.824,0.824,0.815
approach5,ANN_[16],0.921,0.921,0.857,0.873,0.873,0.658,0.898,0.897,0.593,0.857,0.856,0.788
approach5,ANN_[32],0.946,0.945,0.922,0.905,0.904,0.736,0.929,0.928,0.678,0.888,0.888,0.851
approach5,SVM_linear_1.500,0.325,0.325,0.828,0.098,0.098,0.181,0.065,0.065,0.166,0.200,0.200,0.200
approach5,SVM_linear_2.000,0.325,0.325,0.828,0.098,0.098,0.181,0.065,0.065,0.166,0.200,0.200,0.200
approach5,DT_2,0.577,0.577,0.360,0.375,0.375,0.209,0.365,0.365,0.257,0.396,0.396,0.361
approach5,DT_4,0.693,0.693,0.553,0.452,0.452,0.294,0.485,0.484,0.299,0.475,0.475,0.411
approach5,DT_6,0.786,0.785,0.548,0.716,0.716,0.361,0.730,0.729,0.355,0.719,0.718,0.593
approach5,DT_8,0.863,0.862,0.724,0.812,0.811,0.472,0.840,0.839,0.422,0.793,0.792,0.655
approach5,DT_10,0.904,0.902,0.728,0.866,0.864,0.445,0.895,0.891,0.403,0.845,0.844,0.574
approach5,DT_12,0.937,0.932,0.744,0.913,0.907,0.441,0.935,0.926,0.397,0.895,0.892,0.559
approach5,kNN_2_uniform,1.000,0.996,0.966,1.000,0.995,0.851,1.000,0.992,0.861,1.000,0.997,0.841
approach5,kNN_4_uniform,0.996,0.992,0.960,0.994,0.990,0.833,0.992,0.985,0.812,0.997,0.995,0.857
approach5,kNN_6_uniform,0.992,0.989,0.954,0.990,0.986,0.817,0.985,0.979,0.780,0.995,0.993,0.865
approach5,kNN_8_uniform,0.989,0.986,0.947,0.986,0.982,0.803,0.979,0.973,0.755,0.993,0.991,0.869
approach5,kNN_10_uniform,0.986,0.983,0.942,0.982,0.978,0.793,0.973,0.968,0.738,0.991,0.990,0.873
approach5,kNN_12_uniform,0.983,0.981,0.936,0.978,0.975,0.781,0.968,0.963,0.720,0.990,0.988,0.877
approach5,custom_0,0.992,0.989,0.954,0.990,0.986,0.817,0.985,0.979,0.780,0.995,0.993,0.865
approach5,"HardVoting: [ , kNN_2_uniform_0, kNN_4_uniform_1, kNN_6_uniform_2, custom_0_3, kNN_8_uniform_4 ]",0.992,0.989,0.954,0.990,0.986,0.817,0.985,0.979,0.780,0.995,0.993,0.865
approach5,GradientBoosting0,0.806,0.805,0.688,0.753,0.752,0.447,0.844,0.842,0.488,0.710,0.710,0.568
